id;nom;niveau;complexite;discipline;sphere;cout;tempsIncantation;uniteIncantation;difficulte;cle;effet;rulebook;effetJeu;perception;duree;dureeUnite;cibles;tags
la-bonne-parole;La bonne parole;2;30;Instinctive;Cités;15;4;Action;20;voix chaleureuse, rune de Khy;le mage se voit accorder l'attention et la confiance d'une foule dans un rayon de 20 mètres et à portée de voix. Il conserve cet ascendant pendant (1 + NR) heures. En cas d'échec de la tentative, la foule est prise d'une haine peu commune et se retourne contre le mage.;livre-de-regles-2e-edition;Le mage obtient l'attention et la confiance d'une foule, dans un rayon de 20 mètres et à portée de voix. En cas d'échec de la tentative, la foule est prise d'une haine peu commune et se retourne contre le mage.;;1 + NR;hour;;communication,zone,social,urbain
plume-de-verite;Plume de vérité;2;30;Sorcellerie;Cités;7;5;Heure;20;plume de scribe, rune de la sagesse;ce sort permet de créer une plume qui oblige son utilisateur à dire la vérité pendant qu'il écrit. S'il ment, l'encre qu'il utilise change de couleur. Ce sort est utilisable même avec les analphabètes, il suffit juste de leur faire dessiner quelque chose. L'enchantement de la plume dure (1 + NR) cycles.;livre-de-regles-2e-edition;La plume enchantée oblige son utilisateur à dire la vérité pendant qu'il écrit. Utilisable même avec un analphabète : il suffit de lui faire dessiner quelque chose.;S'il ment, l'encre qu'il utilise change de couleur.;1 + NR;cycle;;detection,objet,social
reflet-trompeur;Reflet trompeur;3;45;Sorcellerie;Cités;10;1;Heure;20;masque de bois, rune, gestuelle d'imitation;le masque de bois est enchanté. Une fois placé sur le visage de quelqu'un, il reproduit parfaitement le visage, la voix et les mimiques d'une personne (et une seule) choisie par le porteur. Même la corpulence et la taille font partie de l'illusion. Cette illusion peut être découverte avec un jet de résistance de Mental + Empathie contre une Difficulté de 20. L'enchantement dure (1 + NR) jours.;livre-de-regles-2e-edition;Le masque de bois reproduit une personne (et une seule) choisie par le porteur. L'illusion peut être découverte avec un jet de résistance de Mental + Empathie contre une Difficulté de 20.;"Une fois placé sur le visage, le masque reproduit parfaitement le visage, la voix et les mimiques de la personne choisie ; même la corpulence et la taille font partie de l'illusion.";1 + NR;day;;illusion,objet,social
bouclier-carmin;Bouclier carmin;1;15;Instinctive;Feu;3;2;Action;15;morceau de charbon, chant du feu;le mage crée une petite flamme qui tourne autour de sa cible. Elle bloque la première attaque physique portée avec succès contre la personne qu'elle protège en créant un petit bouclier de feu qui pare l'attaque avant de disparaître. La flamme dépérit et devient inefficace au bout de (1 + NR) heures si elle n'a pas fait effet.;livre-de-regles-2e-edition;Bloque la première attaque physique portée avec succès contre la personne protégée, puis disparaît. La flamme dépérit et devient inefficace au bout de (1 + NR) heures si elle n'a pas fait effet.;"Une petite flamme tourne autour de la cible ; elle pare l'attaque en formant un petit bouclier de feu.";1 + NR;hour;;protection,allie,combat
brise-volcanique;Brise volcanique;1;10;Invocatoire;Feu;5;10;Tour;15;souffle, rune des volcans, chant des volcans;ce sort crée une poche d'air chaud à 30°C de (10 + 10 par NR) m³ pendant huit heures. Elle permet de ne pas avoir froid la nuit.;livre-de-regles-2e-edition;Crée une poche d'air chaud à 30 °C de (10 + 10 par NR) m³. Permet de ne pas avoir froid la nuit.;;8;hour;;utilitaire,zone,exploration
cachet-brulant;Cachet brûlant;1;10;Sorcellerie;Feu;3;30;Minute;15;lettre, sceau et cire, voix forte, rune de feu;en lançant ce sort sur le sceau d'une lettre, le mage appose un mot de commande sur le cachet. Dès que le sceau est rompu sans que le mot de commande soit prononcé à voix haute, le lecteur ne dispose plus que d'un court moment pour comprendre la lettre avant qu'elle ne se consume (5 actions maximum). L'enchantement de la lettre dure (1 + NR) semaines.;livre-de-regles-2e-edition;Le mage appose un mot de commande sur le cachet d'une lettre. Si le sceau est rompu sans que le mot ait été prononcé à voix haute, le lecteur n'a que 5 actions au maximum pour comprendre la lettre avant qu'elle ne se consume.;La lettre se consume.;1 + NR;week;;protection,objet,utilitaire
feux-follets;Feux follets;1;10;Invocatoire;Feu;1;2;Tour;15;bille de charbon, la voix;ce sort crée une lumière dansante qui illumine une zone de (1 + NR) mètres de rayon pendant une heure. C'est une lumière froide que les créatures sensibles aux sources de chaleur ne peuvent déceler.;livre-de-regles-2e-edition;Illumine une zone de (1 + NR) mètres de rayon. Lumière froide : les créatures sensibles aux sources de chaleur ne peuvent la déceler.;Une lumière dansante apparaît.;1;hour;;utilitaire,zone,exploration
guide-ecarlate;Guide écarlate;1;15;Invocatoire;Feu;5;2;Tour;15;brindille, chant du dragon;ce sort fait apparaître un petit lézard de feu qui obéit aux ordres du mage pendant (30 + 10 par NR) minutes avant de disparaître. Il est utile pour déclencher des pièges ou bouger des bibelots à distance. Il est également capable de rendre de menus services. Craintif, il ne peut être utilisé en combat.;livre-de-regles-2e-edition;Le lézard invoqué obéit aux ordres du mage : déclencher des pièges, bouger des bibelots à distance, rendre de menus services. Craintif, il ne peut pas être utilisé en combat.;Un petit lézard de feu apparaît, puis disparaît à la fin du sort.;30 + 10 par NR;minute;;invocation,utilitaire,exploration
lame-ardente;Lame ardente;1;15;Sorcellerie;Feu;8;1;Heure;15;lame, forge, voix, gestuelle;ce sort permet à celui qui porte la lame de l'enflammer à volonté pendant (1 + NR) heures. L'arme enflammée bénéficie d'un bonus de +10 aux dommages de base.;livre-de-regles-2e-edition;Le porteur de la lame peut l'enflammer à volonté. L'arme enflammée bénéficie d'un bonus de +10 aux dommages de base.;;1 + NR;hour;;amelioration,objet,combat
loeil-de-pyrite;L'œil de Pyrite;1;15;Instinctive;Feu;2;1;Action;15;geste vif traçant une rune de feu dans l'air, brindille et chant de la lumière;ce sort permet d'enflammer un objet combustible situé à moins de 10 mètres pendant (1 + NR) tours. Il peut servir à allumer un peu de bois sec ou une torche. Il peut enflammer une étoffe, un rideau ou une lettre. Il n'occasionne pas directement de dommage, mais une personne dont la chemise prend feu doit se dépêcher de l'éteindre ou l'enlever en 1 action maximum, sous peine de subir (15 + 1D10) points de dommages.;livre-de-regles-2e-edition;Enflamme un objet combustible situé à moins de 10 mètres (bois sec, torche, étoffe, rideau, lettre). N'occasionne pas directement de dommages, mais une personne dont la chemise prend feu doit l'éteindre ou l'enlever en 1 action maximum, sous peine de subir (15 + 1D10) points de dommages.;;1 + NR;round;;attaque,objet,utilitaire
piege-lumineux;Piège lumineux;1;20;Sorcellerie;Feu;6;1;Heure;15;sable noir, rune de lumière, danse de la lumière;ce sort piège pendant (5 + NR) heures une zone de (1 + NR) m². Toute personne qui y pénètre sans avoir préalablement prononcé le mot de pouvoir déclenche le piège. Un flash illumine toute la zone rendant visible les personnes qui s'y trouvent. Les victimes aveuglées subissent un malus de -5 à toutes leurs actions nécessitant la vue pendant 1 tour.;livre-de-regles-2e-edition;Piège une zone de (1 + NR) m². Toute personne qui y pénètre sans avoir prononcé le mot de pouvoir déclenche le piège. Les victimes aveuglées subissent un malus de -5 à toutes leurs actions nécessitant la vue pendant 1 tour.;Un flash illumine toute la zone, rendant visibles les personnes qui s'y trouvent.;5 + NR;hour;;entrave,detection,zone
souffle-ardent;Souffle ardent;1;20;Instinctive;Feu;5;2;Action;15;respiration, rune gravée sur un morceau de charbon (ou tatouée), posture d'inspiration d'air;le mage fait jaillir de sa bouche un jet de flammes de 5 mètres de long qui embrase tout objet combustible affecté. Le mage peut souffler pendant (1 + NR) tours. Ce sort inflige (15 + 1D10) points de dommages par souffle sur une zone de 2 m². Il ne peut être qu'esquivé ou paré à l'aide d'un bouclier.;livre-de-regles-2e-edition;Inflige (15 + 1D10) points de dommages par souffle sur une zone de 2 m², et embrase tout objet combustible affecté. Le jet de flammes mesure 5 mètres de long. Ne peut être qu'esquivé ou paré à l'aide d'un bouclier.;Un jet de flammes jaillit de la bouche du mage.;1 + NR;round;;attaque,zone,combat
feu-interieur;Feu intérieur;2;35;Instinctive;Feu;12;6;Action;25;rune de l'homme, danse du feu;ce sort entoure une cible consentante d'un halo de flammes qui l'immunise, elle et son équipement, contre toutes les formes de dommages de feu pendant (10 + 10 par NR) minutes. Ce halo lui confère un bonus de +15 à ses jets de dommages à mains nues, et un Indice de protection supplémentaire de +15. Lorsque le sort prend fin, tous les objets combustibles transportés par la cible sont détruits.;livre-de-regles-2e-edition;La cible consentante et son équipement sont immunisés contre toutes les formes de dommages de feu. Bonus de +15 aux jets de dommages à mains nues et Indice de protection supplémentaire de +15. Lorsque le sort prend fin, tous les objets combustibles transportés par la cible sont détruits.;Un halo de flammes entoure la cible.;10 + 10 par NR;minute;;protection,amelioration,allie,combat
cendres-brulantes;Cendres brûlantes;3;55;Invocatoire;Feu;10;3;Tour;20;voix plaintive, sentiment de perte, rune de feu tracée dans l'air;le mage invoque une pluie de cendres incandescentes qui tombe sur une zone de 2 m². Elle inflige (25 + 1D10) points de dommages à chaque tour pendant (1 + NR) tours. Les cendres ayant la fâcheuse habitude de rester collées et de continuer à grésiller. Elles infligent encore (10 + 1D10) points de dommages pendant deux tours après la fin du sort.;livre-de-regles-2e-edition;Inflige (25 + 1D10) points de dommages à chaque tour sur une zone de 2 m². Les cendres restent collées et infligent encore (10 + 1D10) points de dommages pendant deux tours après la fin du sort.;Une pluie de cendres incandescentes tombe sur la zone et continue de grésiller.;1 + NR;round;;attaque,zone,combat
conflagration-ecarlate;Conflagration écarlate;3;45;Instinctive;Feu;8;3;Action;20;regard, rune;le mage enflamme une sphère de 10 m³ d'air pendant (1 + NR) tours à une distance de moins de 30 mètres. Toutes les personnes et les objets à l'intérieur de cette zone subissent (20 + 1D10) points de dommages par tour.;livre-de-regles-2e-edition;Enflamme une sphère de 10 m³ d'air à moins de 30 mètres. Toutes les personnes et tous les objets à l'intérieur de la zone subissent (20 + 1D10) points de dommages par tour.;;1 + NR;round;;attaque,zone,combat
la-main-des-flammes;La main des flammes;3;85;Sorcellerie;Feu;25;10;Heure;25;gant, rune de feu, soufre;ce sort enchante un gant pendant un cycle. Une fois par jour, il permet au mage de lancer des petites boules de feu pendant (1 + NR) heures, à raison de une par tour. Les projectiles enflammés ont une portée de 50 mètres et infligent (20 + 1D10) points de dommages qui ne peuvent pas être parés, seulement esquivés avec une difficulté de +5. L'Indice de protection des armures est divisé par 2 contre ces petites boules de feu.;livre-de-regles-2e-edition;"Le gant enchanté dure un cycle. Une fois par jour, il permet de lancer de petites boules de feu pendant (1 + NR) heures, à raison d'une par tour. Portée de 50 mètres, (20 + 1D10) points de dommages. Elles ne peuvent pas être parées, seulement esquivées avec une difficulté de +5 ; l'Indice de protection des armures est divisé par 2 contre elles.";;1;cycle;;attaque,objet,combat
sang-de-moryagorn;Sang de Moryagorn;3;90;Invocatoire;Feu;25;1;Heure;30;voix plaintive, posture de peur, morceaux de lave;le mage fait jaillir du sol un flot de lave à moins de 10 mètres de lui. La lave s'écoule à gros bouillons pendant (1 + NR) heures ou jusqu'à ce que le mage meure ou mette fin à ce sort. La lave inflige (80 + 2D10) points de dommages à tout ce qui se trouve sur son passage. Elle se déplace de 30 mètres par tour.;livre-de-regles-2e-edition;Fait jaillir du sol un flot de lave à moins de 10 mètres. Inflige (80 + 2D10) points de dommages à tout ce qui se trouve sur son passage et se déplace de 30 mètres par tour. S'arrête si le mage meurt ou met fin au sort.;La lave s'écoule à gros bouillons.;1 + NR;hour;;attaque,zone,combat
torche-eternelle;Torche éternelle;3;45;Sorcellerie;Feu;7;5;Heure;20;torche, incantation crépitante, soufre, rune de lumière;ce sort enchante (1 + NR) torches qui brillent pendant un an sans se consumer. Elles se rallument après une poignée de minutes si elles sont éteintes avec de l'eau ou par manque d'oxygène.;livre-de-regles-2e-edition;Enchante (1 + NR) torches qui brillent pendant un an sans se consumer. Éteintes avec de l'eau ou par manque d'oxygène, elles se rallument après une poignée de minutes.;;1;year;1 + NR;creation,objet,exploration
certitude;Certitude;1;5;Instinctive;Métal;1;1;Action;15;rune de la précision;le mage récupère (2 + NR) Points de Maîtrise déjà dépensés. Il ne peut en aucun cas dépasser la valeur de son Attribut Maîtrise de cette façon. Rater le lancement de ce sort ne rapporte aucun Point de Chance.;livre-de-regles-2e-edition;Le mage récupère (2 + NR) Points de Maîtrise déjà dépensés, sans jamais dépasser la valeur de son Attribut Maîtrise. Rater le lancement de ce sort ne rapporte aucun Point de Chance.;;;;;utilitaire,soi
estampille-de-kezyr;Estampille de Kezyr;1;15;Sorcellerie;Métal;3;1;Heure;15;rune de métal, marque de Kezyr gravée sur l'objet, chant du forgeron;en apposant la marque de Kezyr sur un objet, le mage en augmente définitivement la qualité de (1 + 1 par 3 NR) niveaux (de bonne à très bonne, etc.). Un objet ne peut porter qu'une marque de Kezyr et l'augmentation de qualité ne procure aucune capacité spéciale.;livre-de-regles-2e-edition;Augmente définitivement la qualité de l'objet de (1 + 1 par 3 NR) niveaux (de bonne à très bonne, etc.). Un objet ne peut porter qu'une seule marque de Kezyr, et l'augmentation de qualité ne procure aucune capacité spéciale.;Le mage appose la marque de Kezyr sur l'objet.;;;;amelioration,objet,creation
force-du-forgeron;Force du forgeron;1;10;Instinctive;Métal;3;1;Action;15;tatouage ou dessin d'une rune de métal, pression musculaire;le mage augmente sa Force ou celle d'une personne consentante de 5 pendant (1 + NR) tours. Cette modification n'affecte pas l'Attribut Physique mais s'applique aux dommages physiques.;livre-de-regles-2e-edition;Force +5 pour le mage ou une personne consentante. Cette modification n'affecte pas l'Attribut Physique mais s'applique aux dommages physiques.;;1 + NR;round;;amelioration,allie,combat
jeu-de-la-gravite;Jeu de la gravité;1;25;Sorcellerie;Métal;5;30;Minute;15;objet de moins d'une tonne, rune de plomb, plume;l'objet enchanté voit son poids multiplié ou divisé par 3 pendant (1 + NR) jours. Ce sort baisse les prérequis de Force des armes et armures (ainsi que leur pénalité d'encombrement) de 3.;livre-de-regles-2e-edition;Le poids de l'objet enchanté est multiplié ou divisé par 3. Baisse de 3 les prérequis de Force des armes et armures, ainsi que leur pénalité d'encombrement.;;1 + NR;day;;amelioration,objet,utilitaire
lame-brisee;Lame brisée;1;5;Instinctive;Métal;1;1;Action;15;rune d'acier, cri aigu;le mage brise un objet en métal situé à moins de 5 mètres. Les objets enchantés, magiques ou de très bonne qualité ne sont pas affectés par ce sort.;livre-de-regles-2e-edition;Brise un objet en métal situé à moins de 5 mètres. Les objets enchantés, magiques ou de très bonne qualité ne sont pas affectés.;;;;;attaque,objet,combat
lame-du-heros;Lame du héros;1;10;Sorcellerie;Métal;10;1;Heure;20;arme, runes, sentiment de force, sable noir;ce sort enchante la lame d'une arme qui bénéficie alors d'un bonus de +5 aux dommages pendant (1 + NR) jours. Le sable utilisé semble rester inclus dans la lame durant ce laps de temps. Il disparaît ensuite, laissant la lame retrouver son état d'origine.;livre-de-regles-2e-edition;L'arme enchantée bénéficie d'un bonus de +5 aux dommages.;Le sable utilisé semble rester inclus dans la lame, puis disparaît en laissant la lame retrouver son état d'origine.;1 + NR;day;;amelioration,objet,combat
mine-merveilleuse;Mine merveilleuse;1;5;Invocatoire;Métal;5;2;Tour;15;pioche ou pelle, chant de mineur;en creusant la terre d'une cinquantaine de centimètres, le mage découvre des pépites de fer. Le poids total de la découverte est de (1 + NR) kg de fer.;livre-de-regles-2e-edition;En creusant la terre d'une cinquantaine de centimètres, le mage découvre (1 + NR) kg de pépites de fer.;;;;;creation,exploration
pas-legers;Pas légers;1;5;Invocatoire;Métal;4;3;Tour;15;plume, rune d'agilité tracée sur l'armure en métal, danse du métal, voix grave;en invoquant l'agilité de Kezyr, le mage assouplit magiquement une armure de métal et en diminue ainsi la pénalité d'encombrement de 5 pendant (5 + 2 par NR) heures.;livre-de-regles-2e-edition;Diminue de 5 la pénalité d'encombrement d'une armure de métal.;Le mage invoque l'agilité de Kezyr et assouplit magiquement l'armure.;5 + 2 par NR;hour;;amelioration,objet,combat
poing-dacier;Poing d'acier;1;35;Instinctive;Métal;3;1;Action;15;rune d'acier, voix;la chair d'un membre devient de l'acier malléable qui permet de lui donner la forme d'une arme ou d'un outil pendant (1 + NR) tours. Si le membre se transforme en arme, cette dernière dispose d'un bonus de +5 aux dommages. Dans le cas d'un outil, la Compétence nécessaire pour l'utiliser bénéficie d'un bonus de +5.;livre-de-regles-2e-edition;"Le membre transformé en arme bénéficie d'un bonus de +5 aux dommages ; transformé en outil, la Compétence nécessaire pour l'utiliser bénéficie d'un bonus de +5.";La chair d'un membre devient de l'acier malléable auquel le mage donne la forme d'une arme ou d'un outil.;1 + NR;round;;amelioration,soi,combat
rideau-dacier;Rideau d'acier;1;20;Instinctive;Métal;7;5;Action;15;rune, posture (bras croisés devant le visage);le mage est protégé par un écheveau de fins fils d'acier qui ondulent autour de lui pendant (2 + NR) tours. Cette barrière métallique divise par 3 tous les dommages physiques infligés contre le lanceur du sort et par 2 les dommages magiques. Tous les dommages sont arrondis à l'inférieur.;livre-de-regles-2e-edition;Divise par 3 tous les dommages physiques infligés au lanceur et par 2 les dommages magiques. Tous les dommages sont arrondis à l'inférieur.;Un écheveau de fins fils d'acier ondule autour du mage.;2 + NR;round;;protection,soi,combat
acide-de-kezyr;Acide de Kezyr;2;25;Sorcellerie;Métal;5;1;Heure;15;fiole, eau, chant des fontaines mercuriales;ce sort permet de créer 1 litre d'une substance capable de liquéfier le métal. Très pratique pour les loquets et les armures trop épaisses, l'acide de Kezyr ne peut malheureusement affecter que des objets métalliques de qualité inférieure à bonne. Le liquide conserve ses propriétés pendant (3 + NR) semaines.;livre-de-regles-2e-edition;Crée 1 litre d'une substance capable de liquéfier le métal (loquets, armures trop épaisses). N'affecte que les objets métalliques de qualité inférieure à bonne.;;3 + NR;week;;creation,objet,exploration
attraction-des-faibles;Attraction des faibles;2;35;Invocatoire;Métal;12;5;Action;25;rune, limaille de fer, souffle;le mage souffle sur de la poussière métallique et forme un nuage qu'il déplace à volonté pendant (30 + 30 par NR) minutes. Tous les objets métalliques situés à moins de 30 mètres sont attirés vers le mage. Les individus portant plus de 5 kg de métal subissent le même sort. Toutefois il leur est possible de résister par un jet de Manuel + Force contre une Difficulté de 15 + 1 par kilo de métal porté. S'ils sont libres, les objets métalliques s'agglutinent ensemble et ne peuvent plus être séparés.;livre-de-regles-2e-edition;Tous les objets métalliques situés à moins de 30 mètres sont attirés vers le mage. Les individus portant plus de 5 kg de métal subissent le même sort, mais peuvent résister par un jet de Manuel + Force contre une Difficulté de 15 + 1 par kilo de métal porté. Les objets libres s'agglutinent ensemble et ne peuvent plus être séparés.;Le mage souffle sur de la poussière métallique et forme un nuage qu'il déplace à volonté.;30 + 30 par NR;minute;;entrave,zone,combat
globes-de-la-vengeance;Globes de la vengeance;2;30;Instinctive;Métal;8;3;Action;15;billes de plomb, grognements;le mage projette des billes de plomb vers sa cible. Elles tournoient autour de la cible et la percutent irrégulièrement, occasionnant (30 + 1D10) points de dommages par tour. Elles peuvent être parées (avec un bouclier) ou esquivées avec une Difficulté de +10. Ce sort dure pendant (1 + NR) tours.;livre-de-regles-2e-edition;Occasionne (30 + 1D10) points de dommages par tour. Peuvent être parées avec un bouclier ou esquivées avec une Difficulté de +10.;Des billes de plomb tournoient autour de la cible et la percutent irrégulièrement.;1 + NR;round;;attaque,ennemi,combat
serviteur-argente;Serviteur argenté;2;35;Invocatoire;Métal;7;1;Tour;15;drac d'argent, rune d'argent;un petit serviteur élémentaire sort du drac d'argent. Il sert le mage pendant (10 + 10 par NR) minutes et peut accomplir de simples tâches (ouvrir une porte, apporter un message, etc.). Craintif, il ne participe à aucun combat. En disparaissant, le serviteur ne laisse pas un mais deux dracs d'argent derrière lui.;livre-de-regles-2e-edition;Le serviteur accomplit de simples tâches (ouvrir une porte, apporter un message, etc.). Craintif, il ne participe à aucun combat. En disparaissant, il laisse deux dracs d'argent derrière lui au lieu d'un.;Un petit serviteur élémentaire sort du drac d'argent.;10 + 10 par NR;minute;;invocation,utilitaire,exploration
traits-aceres;Traits acérés;2;40;Invocatoire;Métal;5;1;Tour;15;clous en acier, rune d'acier, posture élancée;ce sort fait jaillir des aiguilles d'acier de 30 centimètres de long vers une cible située à moins de 100 mètres. Elles occasionnent (15 + 1D10 par NR) points de dommages. Les aiguilles ne peuvent être ni parées, ni esquivées.;livre-de-regles-2e-edition;Occasionne (15 + 1D10 par NR) points de dommages à une cible située à moins de 100 mètres. Les aiguilles ne peuvent être ni parées, ni esquivées.;Des aiguilles d'acier de 30 centimètres de long jaillissent vers la cible.;;;;attaque,ennemi,combat
colere-du-metal;Colère du métal;3;60;Sorcellerie;Métal;15;10;Heure;25;20 billes de fer, rune de métal, poudre de charbon;le mage enchante 20 billes de fer pendant (1 + NR) ans qu'il peut placer où il souhaite mais jamais côte à côte. Une fois placées, les billes explosent au moindre contact, occasionnant (30 + 2D10) points de dommages si le mot de commande n'est pas prononcé dans les deux mètres. Le mage peut transporter les billes sans risque dans de la poudre de charbon. Au moment de la pose, il doit les nettoyer consciencieusement et prononcer le mot de commande.;livre-de-regles-2e-edition;"Enchante 20 billes de fer, à placer où le mage le souhaite mais jamais côte à côte. Une fois placées, elles explosent au moindre contact et occasionnent (30 + 2D10) points de dommages si le mot de commande n'est pas prononcé dans les deux mètres. Le mage peut les transporter sans risque dans de la poudre de charbon ; au moment de la pose, il doit les nettoyer consciencieusement et prononcer le mot de commande.";;1 + NR;year;;attaque,objet,combat
cercle-sacre;Cercle sacré;1;15;Invocatoire;Nature;5;1;Tour;15;branche d'arbre, chant de la forêt, rune de la colère tracée sur la branche;le mage fait appel à la protection des arbres afin d'éviter les dangers de la nature (prédateurs, insectes venimeux, etc.) pendant huit heures. Pour ce faire, il trace sur le sol un cercle sacré de (10 + 10 par NR) mètres de diamètre.;livre-de-regles-2e-edition;Protège des dangers de la nature (prédateurs, insectes venimeux, etc.) dans un cercle de (10 + 10 par NR) mètres de diamètre tracé sur le sol.;Le mage fait appel à la protection des arbres.;8;hour;;protection,zone,exploration
